Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,HOST,Instrument,isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study
SRR28172373,OTHER,302,14388962744,PRJNA1082417,SAMN40210231,Metagenome or environmental,4750393556,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802448,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.13 E,A074,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A074,SRP492714
SRR28172374,OTHER,302,13291540044,PRJNA1082417,SAMN40210230,Metagenome or environmental,4325023031,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802447,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.12 E,A073,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:28:00Z,1,A073,SRP492714
SRR28172375,OTHER,302,13136408684,PRJNA1082417,SAMN40210229,Metagenome or environmental,4344278986,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802446,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.11 E,A072,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:27:00Z,1,A072,SRP492714
SRR28172376,OTHER,302,13134294986,PRJNA1082417,SAMN40210228,Metagenome or environmental,4280578929,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802445,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.57 N 116.10 E,A069,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:28:00Z,1,A069,SRP492714
SRR28172377,OTHER,302,13245771340,PRJNA1082417,SAMN40210227,Metagenome or environmental,4355483763,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802444,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.97 N 116.18 E,A068,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:28:00Z,1,A068,SRP492714
SRR28172378,OTHER,302,12987111964,PRJNA1082417,SAMN40210191,Metagenome or environmental,4438484637,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802443,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.61 N 116.18 E,A009,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:28:00Z,1,A009,SRP492714
SRR28172379,OTHER,302,13359110732,PRJNA1082417,SAMN40210226,Metagenome or environmental,4340878107,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802442,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.96 N 116.18 E,A067,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:29:00Z,1,A067,SRP492714
SRR28172380,OTHER,302,14183786360,PRJNA1082417,SAMN40210225,Metagenome or environmental,4566392705,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802441,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.95 N 116.18 E,A064,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:27:00Z,1,A064,SRP492714
SRR28172381,OTHER,302,13511801932,PRJNA1082417,SAMN40210224,Metagenome or environmental,4463887303,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802440,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.94 N 116.18 E,A063,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:27:00Z,1,A063,SRP492714
SRR28172382,OTHER,302,13382660692,PRJNA1082417,SAMN40210223,Metagenome or environmental,4331687053,XIYUAN HOSPITAL,2021,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX23802439,China,Asia,China: Beijing,Homo sapiens,Illumina NovaSeq 6000,missing,39.93 N 116.18 E,A062,PAIRED,other,METAGENOMIC,human gut metagenome,ILLUMINA,2024-07-25T00:00:00Z,2024-02-29T22:30:00Z,1,A062,SRP492714
